# linear_a	angular_a	linear_error	angular_error
3.75	12	-0.001443991096	-0.005010000429
-0.01764702912	-0.03529405825	-0.001246959037	-0.002071596385
-0.01960779767	-0.03921559534	-0.0004354417928	0.00310597752
-0.0127451732	-0.02549034641	-0.0002294211487	0.004406663267
-0.02903208638	-0.06002498788	0.002503349821	0.008940330681
-0.02096791362	-0.09443464706	-0.0004520583606	-0.001189017686
-0.08823449224	-3.044089982	-0.0005262261819	0.0005685408466
-0.117647336	-4.058833093	-0.0004768040082	0.003314220839
-0.09411817175	-3.247076925	-0.0004323901216	0.006296307861
0.06128823909	1.316084292	0.0002192614179	0.003106217506
0.6129005107	13.16123202	-0.0009128382732	-0.004904382051
0.2758112502	5.922683689	-0.0007912773196	-0.009175546725
-0.554841014	-2.632268996	-0.0001882127342	-0.002691995837
-2.774181259	-13.16123202	0.0007317714305	0.002369709488
0.3189833151	1.513316193	0.0002649324406	-0.3671714406
3.010038958	14.28018482	-0.0003502779413	-2.460899411
-4.3	-20.4	0.000795800202	0.004131299477
0.4299282359	2.039659538	0.000434964448	0.001886228188
3.870071764	18.36034046	0.0006353733704	0.003673250576
-0.2554388231	-1.2118493	-0.0003976663234	0.002198608165
