# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s]    forward velocity [m/s]    angular velocity[rad/s]
1288971925.907    0.142		 0.000
1288971926.029    0.142		 0.000
1288971926.146    0.142		 0.000
1288971926.266    0.142		 0.000
1288971926.386    0.165		 0.902
1288971926.505    0.165		 0.902
1288971926.629    0.165		 0.902
1288971926.746    0.142		 0.000
1288971926.866    0.142		 0.000
1288971926.986    0.142		 0.000
1288971927.106    0.142		 0.000
1288971927.229    0.142		 0.000
1288971927.346    0.142		 0.000
1288971927.466    0.142		 0.000
1288971927.587    0.142		 0.000
1288971927.706    0.142		 0.000
1288971927.829    0.142		 0.000
1288971927.946    0.165		 0.902
1288971928.066    0.165		 0.902
1288971928.186    0.165		 0.902
